Date : 2024-09-01 00:46:08
Directory : c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend
Total : 137 files,  9415 codes, 17 comments, 2534 blanks, all 11966 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          1 |      6,844 |          0 |      2,030 |      8,874 |
| TypeScript         |        129 |      2,394 |         17 |        497 |      2,908 |
| JSON               |          4 |        126 |          0 |          4 |        130 |
| JavaScript         |          1 |         27 |          0 |          1 |         28 |
| JSON with Comments |          1 |         23 |          0 |          1 |         24 |
| Markdown           |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        137 |      9,415 |         17 |      2,534 |     11,966 |
| . (Files)                                                                                                                           |          8 |      7,021 |          0 |      2,037 |      9,058 |
| src                                                                                                                                 |        129 |      2,394 |         17 |        497 |      2,908 |
| src (Files)                                                                                                                         |          4 |        128 |          0 |         21 |        149 |
| src\common                                                                                                                          |         14 |        184 |          0 |         46 |        230 |
| src\common\contexts                                                                                                                 |          1 |          5 |          0 |          2 |          7 |
| src\common\database                                                                                                                 |          2 |         18 |          0 |          5 |         23 |
| src\common\decorators                                                                                                               |          6 |        112 |          0 |         25 |        137 |
| src\common\decorators (Files)                                                                                                       |          5 |        106 |          0 |         24 |        130 |
| src\common\decorators\types                                                                                                         |          1 |          6 |          0 |          1 |          7 |
| src\common\guards                                                                                                                   |          4 |         44 |          0 |         13 |         57 |
| src\common\interfaces                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| src\config                                                                                                                          |          1 |         22 |          0 |          3 |         25 |
| src\core                                                                                                                            |          6 |        210 |          0 |         48 |        258 |
| src\core\filters                                                                                                                    |          1 |         25 |          0 |          5 |         30 |
| src\core\interceptors                                                                                                               |          2 |         72 |          0 |         16 |         88 |
| src\core\pipes                                                                                                                      |          1 |         32 |          0 |          6 |         38 |
| src\core\repositories                                                                                                               |          2 |         81 |          0 |         21 |        102 |
| src\core\repositories (Files)                                                                                                       |          1 |         62 |          0 |         14 |         76 |
| src\core\repositories\types                                                                                                         |          1 |         19 |          0 |          7 |         26 |
| src\features                                                                                                                        |         89 |      1,680 |         14 |        340 |      2,034 |
| src\features (Files)                                                                                                                |          1 |         17 |          0 |          2 |         19 |
| src\features\auth                                                                                                                   |         19 |        305 |          5 |         63 |        373 |
| src\features\auth (Files)                                                                                                           |          1 |         38 |          0 |          2 |         40 |
| src\features\auth\controllers                                                                                                       |          2 |         42 |          0 |          6 |         48 |
| src\features\auth\cqrs                                                                                                              |          7 |        114 |          1 |         27 |        142 |
| src\features\auth\cqrs (Files)                                                                                                      |          1 |          6 |          0 |          1 |          7 |
| src\features\auth\cqrs\login                                                                                                        |          2 |         39 |          1 |         11 |         51 |
| src\features\auth\cqrs\login\command                                                                                                |          1 |          4 |          0 |          2 |          6 |
| src\features\auth\cqrs\login\handler                                                                                                |          1 |         35 |          1 |          9 |         45 |
| src\features\auth\cqrs\register                                                                                                     |          2 |         41 |          0 |          9 |         50 |
| src\features\auth\cqrs\register\command                                                                                             |          1 |          4 |          0 |          2 |          6 |
| src\features\auth\cqrs\register\handler                                                                                             |          1 |         37 |          0 |          7 |         44 |
| src\features\auth\cqrs\verify-account                                                                                               |          2 |         28 |          0 |          6 |         34 |
| src\features\auth\cqrs\verify-account\command                                                                                       |          1 |          4 |          0 |          2 |          6 |
| src\features\auth\cqrs\verify-account\handler                                                                                       |          1 |         24 |          0 |          4 |         28 |
| src\features\auth\dto                                                                                                               |          3 |         40 |          0 |          9 |         49 |
| src\features\auth\profiles                                                                                                          |          1 |         15 |          2 |          4 |         21 |
| src\features\auth\serializer                                                                                                        |          3 |         28 |          2 |          8 |         38 |
| src\features\auth\strategies                                                                                                        |          2 |         28 |          0 |          7 |         35 |
| src\features\otp                                                                                                                    |         15 |        184 |          0 |         41 |        225 |
| src\features\otp (Files)                                                                                                            |          1 |         20 |          0 |          2 |         22 |
| src\features\otp\controllers                                                                                                        |          2 |         26 |          0 |          5 |         31 |
| src\features\otp\cqrs                                                                                                               |          5 |         68 |          0 |         16 |         84 |
| src\features\otp\cqrs (Files)                                                                                                       |          1 |          4 |          0 |          1 |          5 |
| src\features\otp\cqrs\generate-otp                                                                                                  |          2 |         36 |          0 |          9 |         45 |
| src\features\otp\cqrs\generate-otp\command                                                                                          |          1 |          3 |          0 |          1 |          4 |
| src\features\otp\cqrs\generate-otp\handler                                                                                          |          1 |         33 |          0 |          8 |         41 |
| src\features\otp\cqrs\verify-otp                                                                                                    |          2 |         28 |          0 |          6 |         34 |
| src\features\otp\cqrs\verify-otp\command                                                                                            |          1 |          6 |          0 |          1 |          7 |
| src\features\otp\cqrs\verify-otp\handler                                                                                            |          1 |         22 |          0 |          5 |         27 |
| src\features\otp\dto                                                                                                                |          3 |         16 |          0 |          6 |         22 |
| src\features\otp\repositories                                                                                                       |          2 |         20 |          0 |          5 |         25 |
| src\features\otp\schemas                                                                                                            |          2 |         34 |          0 |          7 |         41 |
| src\features\user                                                                                                                   |         54 |      1,174 |          9 |        234 |      1,417 |
| src\features\user (Files)                                                                                                           |          1 |         27 |          0 |          2 |         29 |
| src\features\user\controllers                                                                                                       |          5 |        250 |          1 |         23 |        274 |
| src\features\user\cqrs                                                                                                              |         28 |        486 |          0 |        124 |        610 |
| src\features\user\cqrs (Files)                                                                                                      |          2 |         46 |          0 |          3 |         49 |
| src\features\user\cqrs\account                                                                                                      |          8 |        143 |          0 |         33 |        176 |
| src\features\user\cqrs\account\command                                                                                              |          4 |         29 |          0 |          8 |         37 |
| src\features\user\cqrs\account\handler                                                                                              |          4 |        114 |          0 |         25 |        139 |
| src\features\user\cqrs\follow                                                                                                       |          6 |         91 |          0 |         26 |        117 |
| src\features\user\cqrs\follow\command                                                                                               |          3 |         21 |          0 |          6 |         27 |
| src\features\user\cqrs\follow\handler                                                                                               |          3 |         70 |          0 |         20 |         90 |
| src\features\user\cqrs\photo                                                                                                        |          2 |         28 |          0 |          6 |         34 |
| src\features\user\cqrs\photo\command                                                                                                |          1 |          6 |          0 |          1 |          7 |
| src\features\user\cqrs\photo\handler                                                                                                |          1 |         22 |          0 |          5 |         27 |
| src\features\user\cqrs\tweets                                                                                                       |         10 |        178 |          0 |         56 |        234 |
| src\features\user\cqrs\tweets\command                                                                                               |          5 |         37 |          0 |         10 |         47 |
| src\features\user\cqrs\tweets\handler                                                                                               |          5 |        141 |          0 |         46 |        187 |
| src\features\user\dto                                                                                                               |          5 |         58 |          0 |         14 |         72 |
| src\features\user\enum                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| src\features\user\pipes                                                                                                             |          3 |         23 |          0 |          5 |         28 |
| src\features\user\repositories                                                                                                      |          4 |         89 |          0 |         16 |        105 |
| src\features\user\schemas                                                                                                           |          4 |        213 |          8 |         41 |        262 |
| src\features\user\validators                                                                                                        |          3 |         23 |          0 |          8 |         31 |
| src\features\user\validators (Files)                                                                                                |          1 |         20 |          0 |          6 |         26 |
| src\features\user\validators\interfaces                                                                                             |          2 |          3 |          0 |          2 |          5 |
| src\modules                                                                                                                         |         15 |        170 |          3 |         39 |        212 |
| src\modules\bull                                                                                                                    |          2 |         22 |          0 |          5 |         27 |
| src\modules\cloudinary                                                                                                              |          4 |         48 |          1 |         10 |         59 |
| src\modules\cloudinary (Files)                                                                                                      |          2 |          9 |          1 |          4 |         14 |
| src\modules\cloudinary\services                                                                                                     |          2 |         39 |          0 |          6 |         45 |
| src\modules\email                                                                                                                   |          7 |         83 |          2 |         20 |        105 |
| src\modules\email (Files)                                                                                                           |          1 |          9 |          0 |          2 |         11 |
| src\modules\email\services                                                                                                          |          3 |         69 |          2 |         13 |         84 |
| src\modules\email\types                                                                                                             |          3 |          5 |          0 |          5 |         10 |
| src\modules\throttler                                                                                                               |          2 |         17 |          0 |          4 |         21 |
