Date : 2024-09-05 15:50:57
Directory : /Users/canson/Documents/GitHub/nexus/v2
Total : 172 files,  18033 codes, 36 comments, 4739 blanks, all 22808 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          2 |     14,779 |          0 |      4,129 |     18,908 |
| TypeScript         |        143 |      2,691 |         19 |        559 |      3,269 |
| JSON               |          6 |        191 |          0 |          6 |        197 |
| vue                |          5 |        165 |         11 |         16 |        192 |
| JavaScript         |          9 |        123 |          5 |         17 |        145 |
| JSON with Comments |          2 |         42 |          0 |          2 |         44 |
| Markdown           |          2 |         20 |          0 |          7 |         27 |
| HTML               |          1 |         16 |          1 |          1 |         18 |
| XML                |          1 |          3 |          0 |          1 |          4 |
| CSS                |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        172 |     18,033 |         36 |      4,739 |     22,808 |
| backend                                                                                                                       |        151 |      9,794 |         19 |      2,602 |     12,415 |
| backend (Files)                                                                                                               |          8 |      7,103 |          0 |      2,043 |      9,146 |
| backend/src                                                                                                                   |        143 |      2,691 |         19 |        559 |      3,269 |
| backend/src (Files)                                                                                                           |          4 |        131 |          0 |         21 |        152 |
| backend/src/common                                                                                                            |         20 |        266 |          0 |         67 |        333 |
| backend/src/common/contexts                                                                                                   |          1 |          5 |          0 |          2 |          7 |
| backend/src/common/database                                                                                                   |          2 |         18 |          0 |          5 |         23 |
| backend/src/common/decorators                                                                                                 |          6 |        112 |          0 |         25 |        137 |
| backend/src/common/decorators (Files)                                                                                         |          5 |        106 |          0 |         24 |        130 |
| backend/src/common/decorators/types                                                                                           |          1 |          6 |          0 |          1 |          7 |
| backend/src/common/guards                                                                                                     |          4 |         44 |          0 |         13 |         57 |
| backend/src/common/interfaces                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| backend/src/common/pagination                                                                                                 |          6 |         82 |          0 |         21 |        103 |
| backend/src/common/pagination/dto                                                                                             |          4 |         73 |          0 |         18 |         91 |
| backend/src/common/pagination/enums                                                                                           |          1 |          4 |          0 |          1 |          5 |
| backend/src/common/pagination/interfaces                                                                                      |          1 |          5 |          0 |          2 |          7 |
| backend/src/config                                                                                                            |          1 |         22 |          0 |          3 |         25 |
| backend/src/core                                                                                                              |          6 |        210 |          0 |         48 |        258 |
| backend/src/core/filters                                                                                                      |          1 |         25 |          0 |          5 |         30 |
| backend/src/core/interceptors                                                                                                 |          2 |         72 |          0 |         16 |         88 |
| backend/src/core/pipes                                                                                                        |          1 |         32 |          0 |          6 |         38 |
